1	1.0	1.0	0.5	['B1', 'F#2']	['P5']	[0, 5]	[6, 11]
23	3.5	0.25	0.25	['F#2', 'E3', 'G#3', 'E4', 'G#4', 'A#4']	['m7', 'M9', 'm14', 'M16', 'M17', 'M3', 'P8', 'M10', 'A11', 'm6', 'A4', 'M2']	[0, 2, 4, 6]	[4, 6, 8, 10]
24	1.0	1.0	0.25	['C#2', 'G#2', 'E#3', 'B3', 'D#4', 'E#4', 'G#5']	['P5', 'M10', 'm14', 'M16', 'M17', 'P26', 'M6', 'm10', 'P12', 'M13', 'P22', 'd5', 'm7', 'P8', 'm17', 'M3', 'A4', 'M2', 'P11']	[0, 2, 4, 6, 9]	[11, 1, 3, 5, 8]
24	1.5	0.25	0.25	['C#2', 'G#2', 'E#3', 'B3', 'D#4', 'E#4', 'G#5']	['P5', 'M10', 'm14', 'M16', 'M17', 'P26', 'M6', 'm10', 'P12', 'M13', 'P22', 'd5', 'm7', 'P8', 'm17', 'M3', 'A4', 'M2', 'P11']	[0, 2, 4, 6, 9]	[11, 1, 3, 5, 8]
24	2.0	0.5	0.25	['C#2', 'G#2', 'E#3', 'B3', 'D#4', 'E#4', 'G#5']	['P5', 'M10', 'm14', 'M16', 'M17', 'P26', 'M6', 'm10', 'P12', 'M13', 'P22', 'd5', 'm7', 'P8', 'm17', 'M3', 'A4', 'M2', 'P11']	[0, 2, 4, 6, 9]	[11, 1, 3, 5, 8]
24	2.5	0.25	0.25	['C#2', 'G#2', 'F#3', 'B3', 'D#4', 'F#4', 'G5']	['P5', 'P11', 'm14', 'M16', 'P18', 'd26', 'm7', 'm10', 'P12', 'd22', 'P4', 'M6', 'P8', 'm16', 'M3', 'm13', 'm3', 'd11', 'm9']	[0, 1, 2, 5, 7, 9]	[6, 7, 8, 11, 1, 3]
24	3.0	0.5	0.25	['C#2', 'G#2', 'F##3', 'B3', 'D#4', 'F##4', 'F#5']	['P5', 'A11', 'm14', 'M16', 'A18', 'P25', 'M7', 'm10', 'P12', 'M14', 'm21', 'd4', 'm6', 'P8', 'd15', 'M3', 'A5', 'd8']	[0, 1, 2, 5, 7, 9]	[6, 7, 8, 11, 1, 3]
24	3.5	0.25	0.25	['C#2', 'G#2', 'G#3', 'B3', 'D#4', 'G#4', 'E#5']	['P5', 'P12', 'm14', 'M16', 'P19', 'M24', 'P8', 'm10', 'P15', 'M20', 'm3', 'M13', 'M3', 'M6', 'A11', 'P4', 'M9']	[0, 2, 4, 6, 9]	[11, 1, 3, 5, 8]
25	1.0	1.0	0.25	['C#2', 'G#2', 'E#3', 'B3', 'D#4', 'E#4', 'G#5']	['P5', 'M10', 'm14', 'M16', 'M17', 'P26', 'M6', 'm10', 'P12', 'M13', 'P22', 'd5', 'm7', 'P8', 'm17', 'M3', 'A4', 'M2', 'P11']	[0, 2, 4, 6, 9]	[11, 1, 3, 5, 8]
25	1.5	0.25	0.25	['C#2', 'G#2', 'E#3', 'B3', 'D#4', 'E#4', 'G#5']	['P5', 'M10', 'm14', 'M16', 'M17', 'P26', 'M6', 'm10', 'P12', 'M13', 'P22', 'd5', 'm7', 'P8', 'm17', 'M3', 'A4', 'M2', 'P11']	[0, 2, 4, 6, 9]	[11, 1, 3, 5, 8]
25	2.0	0.5	0.25	['C#2', 'G#2', 'E#3', 'B3', 'D#4', 'E#4', 'G#5']	['P5', 'M10', 'm14', 'M16', 'M17', 'P26', 'M6', 'm10', 'P12', 'M13', 'P22', 'd5', 'm7', 'P8', 'm17', 'M3', 'A4', 'M2', 'P11']	[0, 2, 4, 6, 9]	[11, 1, 3, 5, 8]
25	2.5	0.25	0.25	['C#2', 'G#2', 'F#3', 'B3', 'D#4', 'F#4', 'G5']	['P5', 'P11', 'm14', 'M16', 'P18', 'd26', 'm7', 'm10', 'P12', 'd22', 'P4', 'M6', 'P8', 'm16', 'M3', 'm13', 'm3', 'd11', 'm9']	[0, 1, 2, 5, 7, 9]	[6, 7, 8, 11, 1, 3]
25	3.0	0.5	0.25	['C#2', 'G#2', 'F##3', 'B3', 'D#4', 'F##4', 'F#5']	['P5', 'A11', 'm14', 'M16', 'A18', 'P25', 'M7', 'm10', 'P12', 'M14', 'm21', 'd4', 'm6', 'P8', 'd15', 'M3', 'A5', 'd8']	[0, 1, 2, 5, 7, 9]	[6, 7, 8, 11, 1, 3]
25	3.5	0.25	0.25	['C#2', 'G#2', 'G#3', 'B3', 'D#4', 'G#4', 'E#5']	['P5', 'P12', 'm14', 'M16', 'P19', 'M24', 'P8', 'm10', 'P15', 'M20', 'm3', 'M13', 'M3', 'M6', 'A11', 'P4', 'M9']	[0, 2, 4, 6, 9]	[11, 1, 3, 5, 8]
26	1.0	1.0	0.25	['G#1', 'G#2', 'A#3', 'D#4', 'G#4', 'A#4', 'E#5']	['P8', 'M16', 'P19', 'P22', 'M23', 'M27', 'M9', 'P12', 'P15', 'M20', 'P4', 'm7', 'P5', 'M2', 'M6']	[0, 2, 5, 7]	[3, 5, 8, 10]
26	1.5	0.25	0.25	['G#1', 'G#2', 'A#3', 'D#4', 'G#4', 'A#4', 'E#5']	['P8', 'M16', 'P19', 'P22', 'M23', 'M27', 'M9', 'P12', 'P15', 'M20', 'P4', 'm7', 'P5', 'M2', 'M6']	[0, 2, 5, 7]	[3, 5, 8, 10]
26	2.0	0.5	0.25	['G#1', 'G#2', 'B3', 'G#4', 'B4', 'D#5']	['P8', 'm17', 'P22', 'm24', 'P26', 'm10', 'P15', 'P19', 'M6', 'M10', 'm3', 'P5', 'M3']	[0, 3, 7]	[8, 11, 3]
26	2.5	0.25	0.25	['G#1', 'G#2', 'B#3', 'G#4', 'B#4', 'D5']	['P8', 'M17', 'P22', 'M24', 'd26', 'M10', 'P15', 'd19', 'm6', 'd10', 'M3', 'd5', 'd3']	[0, 2, 6]	[8, 0, 2]
26	3.0	0.5	0.25	['G#1', 'G#2', 'C#4', 'G#4', 'B#4', 'C#5']	['P8', 'P18', 'P22', 'M24', 'P25', 'P11', 'P15', 'M17', 'P5', 'M7', 'M3', 'P4', 'm2']	[0, 1, 5]	[8, 0, 1]
26	3.5	0.25	0.25	['G#1', 'G#2', 'C##4', 'G#4', 'B#4', 'C##5']	['P8', 'A18', 'P22', 'M24', 'A25', 'A11', 'P15', 'M17', 'd5', 'm7', 'M3', 'A4', 'M2']	[0, 2, 6]	[8, 0, 2]
27	1.0	1.0	0.25	['D#4', 'G#4', 'B4', 'D#5']	['P4', 'm6', 'P8', 'm3', 'P5', 'M3']	[0, 3, 7]	[8, 11, 3]
27	1.5	0.25	0.25	['E4', 'G#4', 'A#4', 'B4', 'E5']	['M3', 'A4', 'P5', 'P8', 'M2', 'm3', 'm6', 'm2', 'd5', 'P4']	[0, 1, 3, 7]	[4, 8, 10, 11]
27	2.0	0.5	0.25	['E4', 'G#4', 'A#4', 'B4', 'E5']	['M3', 'A4', 'P5', 'P8', 'M2', 'm3', 'm6', 'm2', 'd5', 'P4']	[0, 1, 3, 7]	[4, 8, 10, 11]
27	2.5	0.25	0.5	['E4', 'A#4', 'B4', 'D#5', 'E5']	['A4', 'P5', 'M7', 'P8', 'm2', 'P4', 'd5', 'M3']	[0, 1, 5, 6]	[10, 11, 3, 4]
27	3.5	0.25	0.25	['E#4', 'A#4', 'B4', 'D#5', 'E#5']	['P4', 'd5', 'm7', 'P8', 'm2', 'P5', 'M3', 'A4', 'M2']	[0, 1, 5, 7]	[10, 11, 3, 5]
28	1.0	1.0	0.25	['G3', 'A3', 'C#4', 'F#4', 'A4', 'C#5', 'F#5', 'C#6']	['M2', 'A4', 'M7', 'M9', 'A11', 'M14', 'A18', 'M3', 'M6', 'P8', 'M10', 'M13', 'M17', 'P4', 'm6', 'P11', 'P15', 'm3', 'P5', 'P12']	[0, 1, 3, 7]	[6, 7, 9, 1]
28	1.5	0.25	0.25	['G3', 'A3', 'C#4', 'F#4', 'A4', 'C#5', 'F#5', 'C#6']	['M2', 'A4', 'M7', 'M9', 'A11', 'M14', 'A18', 'M3', 'M6', 'P8', 'M10', 'M13', 'M17', 'P4', 'm6', 'P11', 'P15', 'm3', 'P5', 'P12']	[0, 1, 3, 7]	[6, 7, 9, 1]
28	2.0	0.5	0.25	['G3', 'A3', 'C#4', 'F#4', 'A4', 'C#5', 'F#5', 'C#6']	['M2', 'A4', 'M7', 'M9', 'A11', 'M14', 'A18', 'M3', 'M6', 'P8', 'M10', 'M13', 'M17', 'P4', 'm6', 'P11', 'P15', 'm3', 'P5', 'P12']	[0, 1, 3, 7]	[6, 7, 9, 1]
28	2.5	0.25	0.25	['G3', 'A3', 'C#4', 'F#4', 'A4', 'C5', 'F#5', 'C6']	['M2', 'A4', 'M7', 'M9', 'P11', 'M14', 'P18', 'M3', 'M6', 'P8', 'm10', 'M13', 'm17', 'P4', 'm6', 'd8', 'd15', 'm3', 'd5', 'd12']	[0, 1, 3, 6, 7]	[6, 7, 9, 0, 1]
28	3.0	0.5	0.25	['G3', 'A3', 'C#4', 'F#4', 'B4', 'F#5', 'B5']	['M2', 'A4', 'M7', 'M10', 'M14', 'M17', 'M3', 'M6', 'M9', 'M13', 'M16', 'P4', 'm7', 'P11', 'm14', 'P8', 'P5']	[0, 1, 3, 5, 7]	[6, 7, 9, 11, 1]
28	3.5	0.25	0.25	['G3', 'B-3', 'C#4', 'F#4', 'B-4', 'F#5', 'B-5']	['m3', 'A4', 'M7', 'm10', 'M14', 'm17', 'A2', 'A5', 'P8', 'A12', 'P15', 'P4', 'd7', 'P11', 'd14', 'd4', 'd11']	[0, 1, 4, 7]	[6, 7, 10, 1]
29	1.0	1.0	0.25	['F#3', 'D4', 'F#4', 'C#5', 'F#5', 'C#6']	['m6', 'P8', 'P12', 'P15', 'P19', 'M3', 'M7', 'M10', 'M14', 'P5', 'P4']	[0, 1, 5]	[1, 2, 6]
29	1.5	0.25	0.25	['E3', 'E4', 'C#5', 'F#5', 'C#6']	['P8', 'M13', 'M16', 'M20', 'M6', 'M9', 'P4', 'P5']	[0, 2, 5]	[1, 4, 6]
29	2.0	0.5	0.25	['D2', 'A2', 'F#3', 'D4', 'F#4']	['P5', 'M10', 'P15', 'M17', 'M6', 'P11', 'M13', 'm6', 'P8', 'M3']	[0, 3, 7]	[2, 6, 9]
29	2.5	0.25	0.25	['D2', 'A2', 'E3', 'E4', 'F#4']	['P5', 'M9', 'M16', 'M17', 'P12', 'M13', 'P8', 'M2']	[0, 2, 4, 7]	[2, 4, 6, 9]
29	3.0	0.5	0.25	['D2', 'A2', 'F#3', 'D4', 'F#4', 'A4']	['P5', 'M10', 'P15', 'M17', 'P19', 'M6', 'P11', 'M13', 'm6', 'P8', 'm10', 'M3', 'm3']	[0, 3, 7]	[2, 6, 9]
29	3.5	0.25	0.25	['D2', 'A2', 'E3', 'E4', 'A4']	['P5', 'M9', 'M16', 'P19', 'P12', 'P15', 'P8', 'P11', 'P4']	[0, 2, 7]	[2, 4, 9]
30	1.0	1.0	0.25	['G3', 'B-3', 'C#4', 'F#4', 'C#5', 'F#5', 'C#6']	['m3', 'A4', 'M7', 'A11', 'M14', 'A18', 'A2', 'A5', 'A9', 'A12', 'A16', 'P4', 'P8', 'P11', 'P15', 'P5', 'P12']	[0, 1, 4, 7]	[6, 7, 10, 1]
30	1.5	0.25	0.25	['G3', 'B-3', 'C#4', 'F#4', 'C#5', 'F#5', 'C#6']	['m3', 'A4', 'M7', 'A11', 'M14', 'A18', 'A2', 'A5', 'A9', 'A12', 'A16', 'P4', 'P8', 'P11', 'P15', 'P5', 'P12']	[0, 1, 4, 7]	[6, 7, 10, 1]
30	2.0	0.5	0.25	['G3', 'B-3', 'C#4', 'F#4', 'C#5', 'F#5', 'C#6']	['m3', 'A4', 'M7', 'A11', 'M14', 'A18', 'A2', 'A5', 'A9', 'A12', 'A16', 'P4', 'P8', 'P11', 'P15', 'P5', 'P12']	[0, 1, 4, 7]	[6, 7, 10, 1]
30	2.5	0.25	0.25	['G3', 'B-3', 'C#4', 'F#4', 'C5', 'F#5', 'C6']	['m3', 'A4', 'M7', 'P11', 'M14', 'P18', 'A2', 'A5', 'M9', 'A12', 'M16', 'P4', 'd8', 'd15', 'd5', 'P8', 'd12']	[0, 1, 3, 6, 7]	[6, 7, 10, 0, 1]
30	3.0	0.5	0.25	['G3', 'B-3', 'C#4', 'F#4', 'B4', 'C#5', 'F#5', 'B5']	['m3', 'A4', 'M7', 'M10', 'A11', 'M14', 'M17', 'A2', 'A5', 'A8', 'A9', 'A12', 'A15', 'P4', 'm7', 'P8', 'P11', 'm14', 'P5', 'M2']	[0, 1, 4, 5, 7]	[6, 7, 10, 11, 1]
30	3.5	0.25	0.25	['G3', 'B-3', 'C#4', 'F#4', 'B-4', 'C#5', 'F#5', 'B-5']	['m3', 'A4', 'M7', 'm10', 'A11', 'M14', 'm17', 'A2', 'A5', 'P8', 'A9', 'A12', 'P15', 'P4', 'd7', 'P11', 'd14', 'd4', 'P5', 'd11']	[0, 1, 4, 7]	[6, 7, 10, 1]
31	1.0	1.0	0.25	['F#3', 'D4', 'F#4', 'C#5', 'F#5', 'C#6']	['m6', 'P8', 'P12', 'P15', 'P19', 'M3', 'M7', 'M10', 'M14', 'P5', 'P4']	[0, 1, 5]	[1, 2, 6]
31	1.5	0.25	0.25	['E3', 'E4', 'C#5', 'F#5', 'C#6']	['P8', 'M13', 'M16', 'M20', 'M6', 'M9', 'P4', 'P5']	[0, 2, 5]	[1, 4, 6]
31	2.0	0.5	0.25	['D2', 'A2', 'F#3', 'D4', 'F#4', 'A4']	['P5', 'M10', 'P15', 'M17', 'P19', 'M6', 'P11', 'M13', 'm6', 'P8', 'm10', 'M3', 'm3']	[0, 3, 7]	[2, 6, 9]
31	2.5	0.25	0.25	['D2', 'A2', 'E3', 'E4', 'A4']	['P5', 'M9', 'M16', 'P19', 'P12', 'P15', 'P8', 'P11', 'P4']	[0, 2, 7]	[2, 4, 9]
31	3.0	0.5	0.25	['D2', 'A2', 'F#3', 'D4', 'F#4']	['P5', 'M10', 'P15', 'M17', 'M6', 'P11', 'M13', 'm6', 'P8', 'M3']	[0, 3, 7]	[2, 6, 9]
31	3.5	0.25	0.25	['D2', 'A2', 'E3', 'E4', 'F#4']	['P5', 'M9', 'M16', 'M17', 'P12', 'M13', 'P8', 'M2']	[0, 2, 4, 7]	[2, 4, 6, 9]
32	1.0	1.0	0.25	['G1', 'D2', 'G2', 'F#3', 'C#4', 'F#4']	['P5', 'P8', 'M14', 'A18', 'M21', 'P4', 'M10', 'M17', 'M7', 'A11']	[0, 1, 5, 6]	[1, 2, 6, 7]
32	1.5	0.25	0.25	['G1', 'D2', 'G2', 'F3', 'C#4', 'F4']	['P5', 'P8', 'm14', 'A18', 'm21', 'P4', 'm10', 'M14', 'm17', 'm7', 'A11', 'A5', 'd4']	[0, 1, 4, 6]	[1, 2, 5, 7]
32	2.0	0.5	0.25	['G1', 'D2', 'G2', 'E3', 'C#4', 'E4']	['P5', 'P8', 'M13', 'A18', 'M20', 'P4', 'M9', 'M14', 'M16', 'M6', 'A11', 'm3']	[0, 1, 3, 6]	[1, 2, 4, 7]
32	2.5	0.25	0.25	['G1', 'D2', 'G2', 'F3', 'C4', 'D#4']	['P5', 'P8', 'm14', 'P18', 'A19', 'P4', 'm10', 'A15', 'm7', 'P11', 'A12', 'A6', 'A2']	[0, 2, 3, 5, 7]	[0, 2, 3, 5, 7]
32	3.0	0.5	0.25	['D2', 'G2', 'D3', 'F#3', 'B3', 'D4']	['P4', 'P8', 'M10', 'M13', 'P15', 'P5', 'M7', 'P12', 'M3', 'M6', 'm6', 'm3']	[0, 1, 5, 8]	[6, 7, 11, 2]
32	3.5	0.25	0.25	['D2', 'G2', 'D3', 'G3', 'B-3', 'C#4']	['P4', 'P8', 'P11', 'm13', 'M14', 'P5', 'm10', 'A11', 'm6', 'M7', 'm3', 'A4', 'A2']	[0, 1, 4, 7]	[7, 10, 1, 2]
33	1.0	1.0	0.25	['G1', 'D2', 'G2', 'F#3', 'C#4', 'F#4']	['P5', 'P8', 'M14', 'A18', 'M21', 'P4', 'M10', 'M17', 'M7', 'A11']	[0, 1, 5, 6]	[1, 2, 6, 7]
33	1.5	0.25	0.25	['G1', 'D2', 'G2', 'F3', 'C#4', 'F4']	['P5', 'P8', 'm14', 'A18', 'm21', 'P4', 'm10', 'M14', 'm17', 'm7', 'A11', 'A5', 'd4']	[0, 1, 4, 6]	[1, 2, 5, 7]
33	2.0	0.5	0.25	['G1', 'D2', 'G2', 'E3', 'C#4', 'E4']	['P5', 'P8', 'M13', 'A18', 'M20', 'P4', 'M9', 'M14', 'M16', 'M6', 'A11', 'm3']	[0, 1, 3, 6]	[1, 2, 4, 7]
33	2.5	0.25	0.25	['G1', 'D2', 'G2', 'F3', 'C4', 'D#4']	['P5', 'P8', 'm14', 'P18', 'A19', 'P4', 'm10', 'A15', 'm7', 'P11', 'A12', 'A6', 'A2']	[0, 2, 3, 5, 7]	[0, 2, 3, 5, 7]
33	3.0	0.5	0.25	['D2', 'G2', 'D3', 'F#3', 'B3', 'D4']	['P4', 'P8', 'M10', 'M13', 'P15', 'P5', 'M7', 'P12', 'M3', 'M6', 'm6', 'm3']	[0, 1, 5, 8]	[6, 7, 11, 2]
33	3.5	0.25	0.25	['D2', 'G2', 'D3', 'G3', 'B-3', 'C#4']	['P4', 'P8', 'P11', 'm13', 'M14', 'P5', 'm10', 'A11', 'm6', 'M7', 'm3', 'A4', 'A2']	[0, 1, 4, 7]	[7, 10, 1, 2]
34	1.0	1.0	0.25	['D1', 'F#3', 'A3', 'F#4']	['M17', 'P19', 'M24', 'm3', 'P8', 'M6']	[0, 3, 7]	[2, 6, 9]
34	1.5	0.25	0.5	['D1', 'F#3', 'A3', 'F#4']	['M17', 'P19', 'M24', 'm3', 'P8', 'M6']	[0, 3, 7]	[2, 6, 9]
34	2.5	0.25	0.25	['D1', 'F#3', 'A3', 'F#4']	['M17', 'P19', 'M24', 'm3', 'P8', 'M6']	[0, 3, 7]	[2, 6, 9]
34	3.0	0.5	0.25	['D1', 'F#3', 'A3']	['M17', 'P19', 'm3']	[0, 3, 7]	[2, 6, 9]
34	3.5	0.25	0.25	['D1', 'F#3', 'A3']	['M17', 'P19', 'm3']	[0, 3, 7]	[2, 6, 9]
35	1.0	1.0	0.25	['D1', 'F#3', 'A3']	['M17', 'P19', 'm3']	[0, 3, 7]	[2, 6, 9]
35	1.5	0.25	0.25	['D1', 'D4', 'F#4']	['P22', 'M24', 'M3']	[0, 4]	[2, 6]
35	2.0	0.5	0.25	['D4', 'F#4']	['M3']	[0, 4]	[2, 6]
35	2.5	0.25	0.5	['F#4', 'A4']	['m3']	[0, 3]	[6, 9]
35	3.5	0.25	0.25	['D5', 'F#5']	['M3']	[0, 4]	[2, 6]
36	1.0	1.0	0.5	['C4', 'A4', 'D5', 'F#5']	['M6', 'M9', 'A11', 'P4', 'M3']	[0, 2, 5, 8]	[6, 9, 0, 2]
36	2.0	0.5	0.5	['C4', 'A4', 'D5', 'F#5', 'B5', 'B6']	['M6', 'M9', 'A11', 'M14', 'M21', 'P4', 'M16', 'M3', 'M13', 'P11', 'P8']	[0, 2, 3, 5, 8]	[6, 9, 11, 0, 2]
36	3.0	0.5	0.25	['C4', 'A4', 'D5', 'F#5', 'A5', 'A6']	['M6', 'M9', 'A11', 'M13', 'M20', 'P4', 'P8', 'P15', 'M3', 'P5', 'P12', 'm3', 'm10']	[0, 2, 5, 8]	[6, 9, 0, 2]
36	3.5	0.25	0.25	['C4', 'F#4', 'A4', 'D5', 'F#5', 'A5', 'A6']	['A4', 'M6', 'M9', 'A11', 'M13', 'M20', 'm3', 'm6', 'P8', 'm10', 'm17', 'P4', 'P15', 'M3', 'P5', 'P12']	[0, 2, 5, 8]	[6, 9, 0, 2]
37	1.0	1.0	0.25	['B3', 'F#4', 'B4']	['P5', 'P8', 'P4']	[0, 5]	[6, 11]
37	1.5	0.25	0.25	['B3', 'F#4', 'A4', 'B4', 'D#5', 'F#5']	['P5', 'm7', 'P8', 'M10', 'P12', 'm3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[3, 6, 9, 11]
37	2.0	0.5	0.25	['B3', 'F#4', 'A4', 'B4', 'D#5', 'F#5']	['P5', 'm7', 'P8', 'M10', 'P12', 'm3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[3, 6, 9, 11]
37	2.5	0.25	0.25	['B3', 'F#4', 'A4', 'B4', 'D#5', 'F#5']	['P5', 'm7', 'P8', 'M10', 'P12', 'm3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[3, 6, 9, 11]
37	3.0	0.5	0.25	['B3', 'F#4', 'A4', 'B4', 'D#5', 'F#5']	['P5', 'm7', 'P8', 'M10', 'P12', 'm3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[3, 6, 9, 11]
37	3.5	0.25	0.25	['B3', 'F#4', 'A4', 'B4', 'D#5', 'F#5']	['P5', 'm7', 'P8', 'M10', 'P12', 'm3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[3, 6, 9, 11]
38	1.0	1.0	0.5	['C4', 'A4', 'C5', 'D5', 'F#5']	['M6', 'P8', 'M9', 'A11', 'm3', 'P4', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[6, 9, 0, 2]
38	2.0	0.5	0.25	['C4', 'A4', 'C5', 'D5', 'F#5', 'B5', 'B6']	['M6', 'P8', 'M9', 'A11', 'M14', 'M21', 'm3', 'P4', 'M16', 'M2', 'A4', 'M7', 'M3', 'M13', 'P11']	[0, 2, 3, 5, 8]	[6, 9, 11, 0, 2]
38	2.5	0.25	0.25	['C4', 'A4', 'C5', 'D5', 'F#5', 'B5', 'B6']	['M6', 'P8', 'M9', 'A11', 'M14', 'M21', 'm3', 'P4', 'M16', 'M2', 'A4', 'M7', 'M3', 'M13', 'P11']	[0, 2, 3, 5, 8]	[6, 9, 11, 0, 2]
38	3.0	0.5	0.25	['C4', 'A4', 'C5', 'D5', 'F#5', 'A5', 'A6']	['M6', 'P8', 'M9', 'A11', 'M13', 'M20', 'm3', 'P4', 'P15', 'M2', 'A4', 'M3', 'P5', 'P12', 'm10']	[0, 2, 5, 8]	[6, 9, 0, 2]
38	3.5	0.25	0.25	['C4', 'A4', 'C5', 'D5', 'F#5', 'A5', 'A6']	['M6', 'P8', 'M9', 'A11', 'M13', 'M20', 'm3', 'P4', 'P15', 'M2', 'A4', 'M3', 'P5', 'P12', 'm10']	[0, 2, 5, 8]	[6, 9, 0, 2]
39	1.0	1.0	0.25	['B3', 'F#4', 'D#5']	['P5', 'M10', 'M6']	[0, 3, 7]	[11, 3, 6]
39	1.5	0.25	0.25	['B3', 'F#4', 'A4', 'D#5', 'F#5']	['P5', 'm7', 'M10', 'P12', 'm3', 'M6', 'P8', 'A4']	[0, 2, 5, 8]	[3, 6, 9, 11]
39	2.0	0.5	0.25	['B3', 'F#4', 'A4', 'B4', 'D#5', 'F#5']	['P5', 'm7', 'P8', 'M10', 'P12', 'm3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[3, 6, 9, 11]
39	2.5	0.25	0.25	['B3', 'F#4', 'A4', 'D#5']	['P5', 'm7', 'M10', 'm3', 'M6', 'A4']	[0, 2, 5, 8]	[3, 6, 9, 11]
39	3.0	0.5	0.25	['B3', 'F#4', 'A4', 'D#5']	['P5', 'm7', 'M10', 'm3', 'M6', 'A4']	[0, 2, 5, 8]	[3, 6, 9, 11]
39	3.5	0.25	0.25	['B3', 'D#4', 'F#4', 'A4']	['M3', 'P5', 'm7', 'm3', 'd5']	[0, 2, 5, 8]	[3, 6, 9, 11]
40	1.0	1.0	0.25	['G2', 'D3', 'B3', 'D4', 'F4', 'A4']	['P5', 'M10', 'P12', 'm14', 'M16', 'M6', 'P8', 'm10', 'm3', 'd5', 'm7', 'M3']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
40	1.5	0.25	0.25	['G2', 'D3', 'B3', 'F4', 'A4']	['P5', 'M10', 'm14', 'M16', 'M6', 'm10', 'P12', 'd5', 'm7', 'M3']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
40	2.0	0.5	0.25	['G2', 'D3', 'B3', 'F4', 'A4', 'E5', 'E6']	['P5', 'M10', 'm14', 'M16', 'M20', 'M27', 'M6', 'm10', 'P12', 'M23', 'd5', 'm7', 'P11', 'P18', 'M3', 'M7', 'M14', 'P8']	[0, 2, 3, 5, 7, 9]	[2, 4, 5, 7, 9, 11]
40	2.5	0.25	0.25	['G2', 'D3', 'B3', 'F4', 'A4', 'E5', 'E6']	['P5', 'M10', 'm14', 'M16', 'M20', 'M27', 'M6', 'm10', 'P12', 'M23', 'd5', 'm7', 'P11', 'P18', 'M3', 'M7', 'M14', 'P8']	[0, 2, 3, 5, 7, 9]	[2, 4, 5, 7, 9, 11]
40	3.0	0.5	0.25	['G2', 'D3', 'B3', 'F4', 'A4', 'D5', 'D6']	['P5', 'M10', 'm14', 'M16', 'P19', 'P26', 'M6', 'm10', 'P12', 'P15', 'P22', 'd5', 'm7', 'm17', 'M3', 'M13', 'P4', 'P11', 'P8']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
40	3.5	0.25	0.25	['G2', 'D3', 'B3', 'F4', 'A4', 'D5', 'D6']	['P5', 'M10', 'm14', 'M16', 'P19', 'P26', 'M6', 'm10', 'P12', 'P15', 'P22', 'd5', 'm7', 'm17', 'M3', 'M13', 'P4', 'P11', 'P8']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
41	1.0	1.0	0.16666666666666666	['C#2', 'B3', 'E#4', 'A4']	['m14', 'M17', 'm20', 'A4', 'm7', 'd4']	[0, 2, 4, 8]	[9, 11, 1, 5]
41	133/100	0.0625	0.08333333333333333	['C#2', 'B3', 'E#4', 'A4']	['m14', 'M17', 'm20', 'A4', 'm7', 'd4']	[0, 2, 4, 8]	[9, 11, 1, 5]
41	1.5	0.25	0.08333333333333333	['C#2', 'B3', 'E#4', 'A4']	['m14', 'M17', 'm20', 'A4', 'm7', 'd4']	[0, 2, 4, 8]	[9, 11, 1, 5]
41	167/100	0.0625	0.16666666666666666	['C#2', 'B3', 'E#4', 'A4', 'C#5']	['m14', 'M17', 'm20', 'P22', 'A4', 'm7', 'M9', 'd4', 'm6', 'M3']	[0, 2, 4, 8]	[9, 11, 1, 5]
41	2.0	0.5	0.25	['C#2', 'A3', 'B3', 'E#4', 'A4', 'C#5']	['m13', 'm14', 'M17', 'm20', 'P22', 'M2', 'A5', 'P8', 'M10', 'A4', 'm7', 'M9', 'd4', 'm6', 'M3']	[0, 2, 4, 8]	[9, 11, 1, 5]
41	2.5	0.25	0.25	['C#2', 'A3', 'B3', 'E#4', 'A4', 'C#5']	['m13', 'm14', 'M17', 'm20', 'P22', 'M2', 'A5', 'P8', 'M10', 'A4', 'm7', 'M9', 'd4', 'm6', 'M3']	[0, 2, 4, 8]	[9, 11, 1, 5]
41	3.0	0.5	0.25	['C#2', 'E#3', 'B3', 'E#4', 'A4']	['M10', 'm14', 'M17', 'm20', 'd5', 'P8', 'd11', 'A4', 'm7', 'd4']	[0, 2, 4, 8]	[9, 11, 1, 5]
41	3.5	0.25	0.25	['C#2', 'E#3', 'B3', 'E#4', 'A4', 'C#5']	['M10', 'm14', 'M17', 'm20', 'P22', 'd5', 'P8', 'd11', 'm13', 'A4', 'm7', 'M9', 'd4', 'm6', 'M3']	[0, 2, 4, 8]	[9, 11, 1, 5]
