Composer,Work,Movement,Year,Opus #,Bars / range
"Vivaldi, Antonio",Gloria,Propter Magnam Gloriam,1715,RV 589,8-9 (14-15 of the movement when paired with the Gratias)
"Couperin, François","Pièces de Clavecin, 2eme Livre, 8eme Ordre",5: Sarabande L’Unique,1717,,3
"Bach, Johann Sebastian",French Suite No. 1,3. Sarabande,1722 or before,,"5, 6, 9, 13, 23"
"Couperin, François","Pièces de Clavecin, 3eme Livre, 15eme Ordre","1: La Régente, ou la Minerve",1722,,21
"Couperin, François","Pièces de Clavecin, 3eme Livre, 17eme Ordre","1: La Superbe, ou la Forqueray",1722,,14
"Couperin, François",Concerts Royaux,"1e Concert, Prélude",1722,,5
"Bach, Johann Sebastian",Magnificat,7. Fecit Potentiam.,1723/33,BWV 243(a),"29 (""Mente cordis suis"")"
"Bach, Johann Sebastian","Cantata: Ach Gott, vom Himmel sieh darein",1: Chorus,1724,BWV 2,2
"Couperin, François",‘Nouveaux concerts’ or ‘les goûts réunis’: No.8 in G,Dans le goût théatral [sic],1724,,"Grande Ritournéle, 3rd to last bar."
"Leclair, Jean-Marie","2e Livre de sonates pour le violon, Sonata in c",3. Allegro ma non troppo,1728,op.2/10,68
"Marchand, Louis","Pièces d'orgue, 2eme Livre, Te Deum",9eme couplet,1729 or before,,3
"Bach, Johann Sebastian",Orchestral Suite No.3,3: Air,1731,BWV 1068,10
"Mondonville, Jean-Joseph Cassanéa de","Trio Sonatas, Op.2/1",,1734,,4
"Mondonville, Jean-Joseph Cassanéa de","Trio Sonatas, Op.2/3",Movt. 3,1734,,8
"Mondonville, Jean-Joseph Cassanéa de","Trio Sonatas, Op.2/6",Movt. 1,1734,,13
"Marais, Roland","Pièces de viole, Livre II","Suite 4, Allemande ""La Chaussez""",1738,,14
"Dandrieu, Jean-François","Pièces d'orgue, Livre 1, Suite II, Pièces en D",Magnificat: 1. Plein Jeu,1739 (pub. post.),,11
"Rameau, Jean-Philippe",Dardanus,"Act 3, Sc. 3, Choir ""Que l'on chante, que l'on s'empresse""",1739,,"""et les jeux."""
"Leclair, Jean-Marie","4e Livre de sonates à violon seul, Sonata in a",3. Adagio,1743,Op.9/5,"6, 24, 30"
"Rameau, Jean-Philippe",Zaïs,"Act 1, Scène 4, 'Unissez vos chants et vos voeux'",1748,RCT 60,Grand-Prêtesse: 'les plus précieux'
"Rameau, Jean-Philippe",Zaïs,"Act 2, Scène 2, 'A tes yeux elle va s'offrir'",1748,RCT 60,Zaïs: 'les faveurs de l'amour'
"Mondonville, Jean-Joseph Cassanéa de",Daphnis et Alcimadure,"Act 2, Sc. 3, Air ""D'abor on enten""",1754,Op.9,"Jeanet: ""poum, poum"""
"Haydn, Franz Joseph",String Quartet,Trio,1788,Op.54/2,65ff. (end)
"Mozart, W. A. (attrib.)",Minuet in D,/,1789?,K.355/576b,"5, 7, 9, 33, 35, 37"
"Beethoven, Ludwig van",String Quartet No.4,2,1799-1800,Op.18/4,"65, 213"
"Beethoven, Ludwig van",7 Variations on 'God Save the King',Variation 1,1800s? (unknown),WoO 78,12
"Beethoven, Ludwig van",Symphony No.3,1,1805,Op.55,"40, 74, 85-6, 481, 492-4."
"Schubert, Franz",Symphony no.2,4,1812,D.125,"311, 331, 351"
"Schubert, Franz",Des Teufels Lustschloss,Overture,1813-14,D.84,"3, 7, 9, 12 (passing), 25 (N), and reprises from 39 …"
"Schubert, Franz",Das Rosenband,/,1815,D.280,"5, 9 and reprises in v.2"
"Schubert, Franz",Gruppe aus dem Tartarus,/,1817,D.583,"4/4 Allegro section: b.1, 3, 5-9"
"Weber, Carl Maria von",Der Freischütz,Overture,1821,"Op.77, J.277","Occasional through passing (e.g. 21), and the melodic dim. 4th (66, 68)."
"Schubert, Franz",Wanderer Fantasy,"3, 4",1822,D.760,"257, 185, 385, 428, 439, 451, 455, 457, 531, 637, 649 (# of whole piece, starting b.13 of movt 3)."
"Schubert, Franz",Die Schöne Müllerin,12. Pause,1823,D.795,35
"Beethoven, Ludwig van",Symphony No.9,3,1824,Op.125,"10-2, 50-3, 106-9."
"Schubert, Franz",Schwanengesang,4: Ständchen,1829,D.957,"17, 23 and reprises"
"Liszt, Franz",Harmonies poetiques et religieuses I,/,1833,S.154,47
"Liszt, Franz","Album d'un voyageur, Book 1: Impressions et Poésies",4 (sic): Vallée d'Obermann,1835-36,S.156/5,"33, 35, 37, 40-1, 58-9."
"Liszt, Franz",Fantaisie romantique sur deux mélodies suisses,1: Imitation du ranz des vaches,1835-6,S.157,8-9 bars before the Adagio
"Schumann, Clara",Soirées Musicales,2: Notturno,1836,Op.6/2,"3-4, 121"
"Liszt, Franz","Album d'un voyageur, Book 1: Impressions et Poésies",1: Lyon,1837-8,S.156/1,"57, 59 and reprises: 153, 155, 159, 161, 169, 173."
"Schumann, Robert",Davidsbündlertänze,2,1837?,Op.6/2,"1-2, 5, 17-8, 21"
"Chopin, Frédéric",Scherzo No.1,/,1837,Op.31,10 and 11 from the end
"Liszt, Franz",Grande Études,1,1837,S.137,1-6
"Schumann, Robert",Humoresque,1,1838,Op.20,"1, 5"
"Chopin, Frédéric",Preludes,20: Largo,1839,Op.28,"1, 8, 12"
"Schumann, Robert",Frauenliebe und -leben,1: Seit ich ihn gesehen,1840,Op.42/1,"15, 31"
"Schumann, Robert",Frauenliebe und -leben,"6: Süsser Freund, du blickest",1840,,"2, 5, 12, 15, 26-7, 45, 48."
"Schumann, Robert",Dichterliebe,12: Am leuchtenden Sommermorgen,1840,Op.48/12,16
"Chopin, Frédéric",Scherzo No.4,/,1842,Op.54,"19, 20, and 24 from the end"
"Liszt, Franz",Petrach Sonnet,Pace non trovo (one of 4 versions),1842-46,S.270/I,"46, 50"
"Liszt, Franz",Vergiftet sind meine Lieder,,"1842, pub. 1844",S.289,"19, 35"
"Liszt, Franz",Die Vätergruft,/,"1844, pub.1860",S.281,"9, 11, and final lento (6-8, 12 before the end)."
"Liszt, Franz",Freudvoll und leidvoll,/,"1844, rev.1860",S.280/1,"43 (""zum Tode"")."
"Liszt, Franz",Freudvoll und leidvoll,/,"1844, rev.1860",S.280/2,"17, 21 (""zum Tode betrübt""); 25, 29 (""allein"")"
"Chopin, Frédéric",Sonata No.3,Largo,1844,Op.58,119-20
"Liszt, Franz",Ein Fichtenbaum steht einsam,/,"c.1845, pub.1860",S.309,"11-2, 14-5"
"Wagner, Richard",Tannhäuser,Overture,1845,,124ff.
"Wagner, Richard",Tannhäuser,Venusberg,1845,,86
"Liszt, Franz",Wer nie sein Brot mit Tränen aß (version 2),/,1845/8,S.297/2,8-4 before the end
"Liszt, Franz",Années de pèlerinage II,2: Il Pensoroso,1846–49,S.161,"9, 14, 16"
"Liszt, Franz",Années de pèlerinage II,4: Petrach Sonnet No.47,1846–49,S.161,"15, 29, 31"
"Liszt, Franz",Années de pèlerinage II,5: Petrach Sonnet No.104,1846–49,S.161,"8, 12, 22, 26, 39, 43, 54 (penultimate)"
"Wagner, Richard","Lohengrin, Act III, Scene 2",Athmest du nicht mit mir die süssen Düfte,1848,WWV 75,"Lohengrin: ""So ist der Zauber, der mich dir verbunden,"""
"Schumann, Robert",Romanzen (Part-songs),5: Der Bleicherin Nachtlied,1849,Op.91/5,1
"Liszt, Franz",Harmonies poetiques et religieuses III,7: Funérailles,1849 / 1853,S.173,"24, 189-90."
"Liszt, Franz",Harmonies poetiques et religieuses III,4: Pensée des morts,1849 / 1853,S.173/4,"17-8, 54, 56-7 (Approach to De Profundis in 3 flats)."
"Wesley, Samuel",Thou Wilt Keep Him,/,1850 (approx.),,62
"Liszt, Franz",Bergsymphonie ('Ce qu'on entend sur la montagne'),,1850,S.95,"Allegro agitato assai, b. 4, 12, 16, 18 (rfz bars)"
"Liszt, Franz","Fantasy and Fugue on ""Ad nos, ad salutarem undam""",/,1850,,"27-8, 502, …"
"Liszt, Franz",Piano Sonata in B minor,/,1852-3,S.178,"152,173,198,299,304,315,316,339,341,349,378,506,615,618,716,718,745,747."
"Liszt, Franz",Faust Symphony,1,1854,,"5, 7, 16, 18, … and reprises (e.g. complete restatement of introduction)"
"Liszt, Franz","Années de pèlerinage, Vol.1",Vallée d'Obermann,1855,S.160,"4, 9, 11, 27; 30,7; 42,4,6,8; 61,4; 84; 129; 135,7-8; 174; 200-3,16"
"Liszt, Franz",Hamlet,/,1858,S.104,"10, 12, 14, 16, 18, 20, 22."
"Wagner, Richard",Tristan,"Act III, Scene 1",1859,,"Tristan: ""Mit hell erschloss'nen Augen muss"""
"Brahms, Johannes",Vier Gesange,3. Der Gärtner,1860,op.17/3,"3, 6, 19, 31, 34, 47"
"Liszt, Franz",Blume und Duft,/,1860,S.324,"10, 12"
"Liszt, Franz",Les Morts,/,1860,S.112 & 516,"58, 80-84."
"Liszt, Franz",Der traurige Mönch,/,"1860, pub.1872",S.348,"9-13, 15,7; 26-9; 31,3,5; 60,2,4,6-70, 72 (""Nun schaut den Geist der Reiter auch""); 73-6, 82-5, 88, 90-4 (end)."
"Liszt, Franz",Petrach Sonnet,Pace non trovo,1864–82,S.270/II,15
"Liszt, Franz",Requiem,Dies Irae,1867ff.,S.12,"76,8; 197; 382,4,6 (Oro suplex)."
"Rimsky-Korsakov, Nikolay","Symphony No.2, ‘Antar’",1,1868ff.,Op.9,"4-7, 16-9, …"
"Brahms, Johannes",Alto Rhapsody,/,1869,Op.53,"1, 3, 20, 22, 24"
"Liszt, Franz","Années de pèlerinage, Vol.3",Aux Cypres de la Villa d'Este,1869,,"4, 8, 25, 29, 30 …"
"Dargomyjsky, Alexander",Convive de Pierre,Throughout,1869,,E.g. 5-6 before the end of the overture.
"Wagner, Richard","Walküre, Act II, Sc.1",Deiner ew'gen Gattin,1870,WWV 86B,"40-39 before the end, ""gingen wir Götter zu Grund."""
"Wagner, Richard","Walküre, Act III, Sc.1",Ride of the Valkyries,1870,WWV 86B,"First vocal entrance (""Hojotoho!"") and reprises"
"Wagner, Richard",Siegfried-Idyll,/,1870,WWV 103,"80, 148, 283, 334(b.2), 384-6, 396"
"Bizet, Georges",L'Arlésienne Suite No. 1,3: Adagietto,1872,,"6, 7, 19, 20, 23, 24"
"Mussorgsky, Modest",Boris Godunov,"Act II, Final 'Hallucination' Scene ",1874,,"R.96 (all), R.97 (4-8), R.100 (1,4, 6-7, ), R.101 (5-6, 8)"
"Mussorgsky, Modest",Boris Godunov,"Act IV, Scene 1",1874,,"R.51 (2, 7); R.53 (7)"
"Bizet, Georges",Carmen,"Act III, No.19 (Start of Act)",1875,,"39, 47-51 (and reprises)."
"Bizet, Georges",Carmen,"Act III, No.20 (Trio)",1875,,"Mercedès ""Un Chateau"", ""Ah""; Carmen: ""Mais si tu dois mourir"""
"Wagner, Richard",Siegfried,"Act I,  Scene 3",1876,WWV 86C,"1-9, 13-21, 24-42 and reprises (""schmiedet Nothnung neu""; ""Was ist's mit dem Fürchten?"")"
"Liszt, Franz",Via crucis,Station 3 and 7,1876–79,S.53,"7, 21, 27"
"Liszt, Franz",Via crucis,Station 4,1876–79,S.53,"4, 7, 10, 12, 15, 20, 22, 24, 26, 28, 30, 32"
"Liszt, Franz",Via crucis,Station 5,1876–79,S.53,"20, 25, 29, 33-5"
"Liszt, Franz",Via crucis,Station 8,1876–79,S.53,"1-2, 5-6, 8, 25-7, 30-1, 39, 41"
"Liszt, Franz",Via crucis,Station 10,1876–79,S.53,"1-10, 12-20 (All chordal bars)"
"Liszt, Franz",Via crucis,Station 11,1876–79,S.53,7-9
"Liszt, Franz",Via crucis,Station 12,1876–79,S.53,"Organ: first passage (2-9), dolcissimo (3-4, 7-9); chorale (2, 5-6, 8, 21, 24)"
"Liszt, Franz",Via crucis,Station 13,1876–79,S.53,"28, 43, 45, 47, 49, 51, 53, 55."
"Liszt, Franz",Via crucis,Station 14,1876–79,S.53,"17, 22; Ave section 2, 4, 6, 8."
"Brahms, Johannes",Piano Concerto No.2,4,1878-81,Op.83,"15-17, 20-2, 24, 45-6, 211-2, 251-2, 255-6, 383-5, 388-9, 459."
"Liszt, Franz",Unstern,/,1880 or after,S.208,"25-6, 28, 33-4, 36, 47-8, 58-82, 118, 120, 122, 124."
"Brahms, Johannes",Tragic Overture,/,1880,Op.81,"60, 75, 302, 304-5, 316"
"Liszt, Franz",Nuages Gris / Trübe Wolken,/,1881,S.199,"11-20, 41, 46-8"
"Wagner, Richard",Parsifal,Throughout,1882,WWV 111,"""Amfortas' Unholy Wound"" motiv"
"Liszt, Franz","La lugubre gondola, I and II",,1882-3,S.200,Throughout.
"Liszt, Franz",R.W. Venezia,/,1883,S.201,"4, 9-10, 14, 16, 18-20, 24-30, 43-4."
"Liszt, Franz",Am Grabe Richard Wagners,/,1883,S.135/202,"39-40, 43-4."
"Liszt, Franz",2 Vortragsstücke,2: Trauerode (based on Les Morts ^),1884/90,S.268/LW.E7,"58, 80-84."
"Liszt, Franz",Trauervorspiel und Trauermarsch,/,1885,S.206,"5-11, 43, 58, 61, 63, 65-6."
"Scriabin,Alexander",Ballade in Bb minor [Unfinished fragment],/,1887,Anh.14,"2, 30-33, 36-7, 60-2, 64-6, 69-70."
"Elgar, Edward",Three motets,Ave verum,1887,"Op. 2, No. 1","1, 5, 9, 13, 22, 30"
"Fauré, Gabriel",Requiem,1: Introit et Kyrie,1887-90,Op.48,"53, 55, 76"
"Debussy, Claude",Poèmes de Baudelaire,1: Le balcon,1887–1889,L.64,"1, 2, 7-8"
"Debussy, Claude",Poèmes de Baudelaire,2: Harmonie du soir,1887–1889,,"4, 32"
"Debussy, Claude",Poèmes de Baudelaire,"3: Le jet d'eau: Tes beaux yeux sont las, pauvre amante",1887–1889,,"7, 22, 42, 43, 45, 51, 53, 55-7, 61, 83, 85"
"Debussy, Claude",Poèmes de Baudelaire,4: Recueillement,1887–1889,,"45-6, 53-4"
"Debussy, Claude",Poèmes de Baudelaire,5: La mort des amants,1887–1889,,"1, 8, 11, 14, 23, 45-7"
"Grieg, Edvard",Peer Gynt Suite No. 1,1: Morgenstemning,1888,Op.46,"11, 55"
"Grieg, Edvard",Peer Gynt Suite No. 1,2: Åses død,1888,Op.46,"8, 16, 40-42"
"Grieg, Edvard",Peer Gynt Suite No. 1,4: I Dovregubbens hall,1888,Op.46,"35, 39, 61"
"Wolf, Hugo",Gedichte von Eduard Morike,7: Das verlassene Mägdlein,1888,,"20, 22-6, 28, 30-4."
"Wolf, Hugo",Gedichte von Eduard Morike,9: Ninunersatte Liebe,1888,,30-36.
"Wolf, Hugo",Gedichte von Eduard Morike,38: Lied vom Winde,1888,,"18-24, 61, 63, 68."
"Wolf, Hugo",Gedichte von Eduard Morike,51: Bei einer Trauung,1888,,10-15.
"Wolf, Hugo",Gedichte von Eduard Morike,53: Abschied,1888,,32-39.
"Scriabin, Aleksandr",24 Preludes,No.4,1888-96,Op.11,"1, 3, 9, 11, 20-21"
"Grieg, Edvard",Lyric Pieces,4. Notturno,1889–91,Op.54,"2, 4, 6, 8, 14, (reprise) 35, 37, 39, 41."
"Wolf, Hugo",Gedichte von J. W. v. Goethe,"6: Mignon II (""Nur wer die Sehnsucht kennt"")",1890,,"2, 14, 27, 33-37, 39-44, 49"
"Wolf, Hugo",Gedichte von J. W. v. Goethe,13: Gutmann und Gutweib,1890,,"8, 16, 56-8; Reprise: 73, 86-88."
"Wolf, Hugo",Gedichte von J. W. v. Goethe,26: Die Spröde,1890,,27-28.
"Wolf, Hugo",Gedichte von J. W. v. Goethe,30: Dank des Paria,1890,,13-16.
"Wolf, Hugo",Gedichte von J. W. v. Goethe,51: Grenzen der Menschheit,1890,,"32, 44-54, 78-80, 89, 97-107, 120."
"Bruneau, Alfred ",Le Rêve,"Act 1, Tableau 2, Scene 3",1891,,Choudens VS p.65-6 (8 bars).
"Chaminade, Cécile","Mélodies, Recueil 1",8: Rêve d'un soir,1892,,3-4
"Debussy, Claude",Proses Lyriques,1: De Rêve,1892-3,L.84,"1-2, 4-5, 14-7, 38-41, 47, 49-52, 59-60, 65-6, 76-7, 80-1."
"Wolf, Hugo",Italienisches Liederbuch,14: Mein Liebster ist so klein,"1892,96",,"46-48, 54-57."
"Debussy, Claude",Prelude a L’Apres Midi,/,1894,L.86,"56, 58"
"Debussy, Claude",Pour le Piano,1: Prélude,1894-1901,L.95,"4-5, 43-57, 76-90, 119-126, 130-3, 159-60"
"Dukas, Paul",L'apprenti du sorcier,/,1897,,"Throughout, e.g. 8, 19-22, 24-38."
"Mahler, Gustav",Symphony No.4,2,1899-1900,,"3,4,5,6,10,15,16,19,20,24,28,29,30,32,33,40,43,46,47,51,60,83,95,102,104,106,108,114,121,126,127,130,135,140,141,143,144,152,158,159,163,168,169,174,175,180,191,250,267,273,274,276,278,282,294,307,308,313,316,321,322,323,324,326,327,336,339,340,350,351,352,353,354,355"
